run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,event,start_instructions,enqueued,timely,late,unused,redundant_cache,redundant_inflight,pending,resident_unused,censored
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,2400000,1930,463,0,10,1291,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,2500000,1910,471,0,7,1267,165,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,2600000,1970,472,0,19,1305,174,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,2700000,1948,478,0,3,1300,167,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,2800000,1950,471,0,5,1313,161,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,2900000,1938,474,0,4,1291,169,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,3000000,1942,475,0,4,1302,161,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,3100000,1932,470,0,2,1297,163,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,3200000,1952,476,0,5,1305,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,3300000,1954,477,0,5,1306,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,3400000,1930,472,0,4,1293,161,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,3500000,1954,471,0,12,1301,170,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,3600000,1928,468,0,21,1263,176,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,3700000,1946,473,0,4,1302,167,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,3800000,1960,473,0,11,1311,165,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,3900000,1950,471,0,13,1298,168,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,4000000,1964,471,0,20,1298,175,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,4100000,1950,474,0,8,1302,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,4200000,1972,469,0,12,1321,170,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,4300000,1936,476,0,4,1294,162,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,4400000,1958,472,0,8,1315,163,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,4500000,1964,471,0,13,1313,167,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,4600000,1956,475,0,8,1306,167,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,4700000,1956,473,0,8,1304,171,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,4800000,1942,476,0,4,1303,159,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,4900000,1964,472,0,20,1293,179,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,5000000,1918,467,0,18,1264,169,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,5100000,1936,470,0,13,1282,171,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,5200000,1966,470,0,21,1299,176,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,5300000,1930,470,0,14,1277,169,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,5400000,1964,468,0,24,1293,179,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,5500000,1946,472,0,11,1293,170,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,5600000,1966,471,0,20,1304,171,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,5700000,1926,466,0,19,1266,175,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,5800000,1930,469,0,19,1270,172,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,5900000,1998,468,0,21,1336,173,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,6000000,1934,473,0,8,1291,162,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,6100000,1956,468,0,15,1297,176,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,6200000,1944,474,0,8,1298,164,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,6300000,1968,471,0,23,1297,177,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,6400000,1938,477,0,16,1276,169,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,6500000,1930,472,0,11,1278,169,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,6600000,1968,469,0,18,1307,174,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,6700000,1930,472,0,9,1284,165,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,6800000,1958,469,0,15,1303,171,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,6900000,1936,471,0,12,1283,170,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,7000000,1932,478,0,3,1292,159,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,7100000,1958,468,0,19,1299,172,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,7200000,1948,474,0,11,1295,168,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,7300000,1964,473,0,14,1306,171,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,7400000,1938,471,0,12,1287,168,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,7500000,1968,469,0,16,1305,178,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,7600000,1940,476,0,3,1303,158,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,7700000,1956,470,0,13,1305,168,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,7800000,1960,471,0,22,1287,180,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,7900000,1932,476,0,4,1292,160,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,8000000,1976,468,0,25,1304,179,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,8100000,1940,468,0,20,1279,173,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,8200000,1984,475,0,15,1323,171,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,8300000,1944,475,0,6,1302,161,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,8400000,1964,476,0,10,1311,167,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,8500000,1962,477,0,24,1282,179,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,8600000,1930,473,0,9,1282,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,8700000,1946,468,0,14,1297,167,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,8800000,1896,463,0,8,1265,160,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,8900000,1948,471,0,12,1299,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,9000000,1950,470,0,9,1306,165,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,9100000,1930,472,0,10,1283,165,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,9200000,1958,473,0,14,1302,169,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,9300000,1948,473,0,7,1304,164,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,9400000,1954,472,0,5,1314,163,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,9500000,1930,473,0,9,1284,164,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,9600000,1958,466,1,16,1303,172,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,9700000,1926,467,0,14,1278,167,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,9800000,1910,467,0,10,1269,164,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,9900000,1954,466,0,17,1299,172,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,10000000,1934,474,0,8,1288,164,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,10100000,1944,471,0,7,1300,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,10200000,1924,472,0,6,1285,161,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,10300000,1980,473,0,10,1331,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,10400000,1934,473,1,5,1293,162,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,10500000,1924,473,0,5,1284,162,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,10600000,1946,464,1,17,1294,170,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,10700000,1934,476,0,4,1291,163,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,10800000,1946,462,0,15,1298,171,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,10900000,1934,476,0,6,1288,164,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,11000000,1948,466,0,14,1297,171,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,11100000,1932,472,0,9,1284,167,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,11200000,1944,464,0,10,1307,163,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,11300000,1934,465,0,15,1286,168,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,11400000,1906,459,2,25,1241,179,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,11500000,1966,452,9,68,1215,222,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,11600000,1940,472,0,17,1274,177,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,11700000,1930,473,0,9,1282,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,11800000,2268,546,26,94,1320,282,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,11900000,2048,502,12,70,1215,249,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,12000000,1968,474,3,39,1257,195,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,12100000,2028,486,9,45,1277,211,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,12200000,1930,473,0,9,1280,168,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,12300000,1940,476,1,15,1272,176,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,12400000,1972,478,2,22,1288,182,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,12500000,1920,471,0,10,1274,165,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,12600000,1894,436,13,83,1130,232,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,12700000,2010,485,6,59,1239,221,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,12800000,1886,459,3,40,1194,190,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,12900000,1942,472,0,16,1282,172,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,13000000,1926,471,0,9,1281,165,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,13100000,1922,474,0,9,1273,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,13200000,1900,453,9,79,1141,218,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,13300000,1924,471,0,8,1279,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,13400000,2340,800,0,145,961,424,0,10,10
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,13500000,1936,462,0,16,1279,179,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,13600000,1942,459,0,15,1291,177,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,13700000,1954,477,0,31,1259,187,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,13800000,1926,476,0,3,1288,159,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,13900000,1966,468,0,24,1296,178,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,14000000,1930,475,0,9,1280,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,14100000,1914,469,0,26,1243,176,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,14200000,1968,475,0,17,1303,173,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,14300000,1924,473,0,5,1285,161,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,14400000,1964,475,0,12,1304,173,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,14500000,1924,474,0,5,1284,161,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,14600000,1964,476,0,13,1304,171,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,14700000,1938,473,0,11,1286,168,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,14800000,1932,476,0,8,1288,160,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,14900000,1964,472,0,20,1296,176,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,15000000,1932,477,0,7,1284,164,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,15100000,1948,464,0,30,1272,182,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,15200000,1950,477,0,10,1293,170,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,15300000,1976,474,0,7,1333,162,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,15400000,1960,476,0,10,1308,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,15500000,1938,475,0,6,1294,163,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,15600000,1956,473,0,10,1310,163,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,15700000,1930,473,0,6,1285,166,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,15800000,1960,468,0,16,1303,173,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,15900000,1942,474,0,10,1293,165,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,16000000,1954,472,0,10,1303,169,0,0,0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,cohort,16100000,1956,477,0,10,1301,168,0,0,0
